,RF_Global,RF_Faixa1,RF_Faixa2,RF_Faixa3
2019-06-16 13:00:00,5.3243039203815075,,,5.36598077103533
2019-06-16 14:00:00,3.421922586616717,,3.436806278030553,
2019-06-16 15:00:00,0.9162355290674782,0.916914941441773,,
2019-06-16 16:00:00,0.7176019618158679,0.7171370497427577,,
2019-06-16 17:00:00,0.7280675259556258,0.724521634447179,,
2019-06-16 18:00:00,0.3756399860889053,0.3807692089802137,,
2019-06-17 04:00:00,0.31230555772814095,0.31117182341939514,,
2019-06-17 05:00:00,0.38844319824382156,0.38138922202136866,,
2019-06-17 06:00:00,0.8761364465932299,0.8710487453027196,,
2019-06-17 07:00:00,2.274613926440482,,2.280903716666663,
2019-06-17 08:00:00,3.1969697905895647,,3.2108108012234844,
2019-06-17 09:00:00,2.661977377378816,,2.667991868373764,
2019-06-17 10:00:00,3.831454009083595,,,3.90288813618578
2019-06-17 11:00:00,4.306913150108824,,,4.328531723680088
2019-06-17 12:00:00,3.6558984198892874,,,3.648486447373274
2019-06-17 13:00:00,4.317292677922488,,,4.3071478707380715
2019-06-17 14:00:00,3.4685945213990266,,3.420245664139353,
2019-06-17 15:00:00,1.9640987484415084,,1.9701666207029733,
2019-06-17 16:00:00,1.101965205711684,1.096498032903917,,
2019-06-17 17:00:00,0.6657967570625886,0.6683705723092767,,
2019-06-17 18:00:00,0.3059898377012655,0.3086342015624761,,
2019-06-18 04:00:00,0.603968724235526,0.6117339808651883,,
2019-06-18 05:00:00,0.7262604744681187,0.7292691962190672,,
2019-06-18 06:00:00,1.0045400472222221,1.0040297042283717,,
2019-06-18 07:00:00,1.9913914657653935,,2.003214854279164,
2019-06-18 08:00:00,2.8654243233581917,,2.8353566164195683,
2019-06-18 09:00:00,3.9710690837562326,,,4.063943809900174
2019-06-18 10:00:00,4.192020980959214,,,4.203119879069519
2019-06-18 11:00:00,4.697943523170704,,,4.8141144031291585
2019-06-18 12:00:00,5.5578875212614,,,5.607174217799635
2019-06-18 13:00:00,5.096034382832192,,,5.085465042898217
2019-06-18 14:00:00,3.9916123814012057,,,4.0335535740601065
2019-06-18 15:00:00,2.5570981699112503,,2.580081966181083,
2019-06-18 16:00:00,1.2853451097605706,1.2959859637612094,,
2019-06-18 17:00:00,0.577236230191858,0.5860124501901971,,
2019-06-19 04:00:00,0.36084649118886797,0.3599627787331577,,
2019-06-19 05:00:00,0.5289891016097527,0.5257831329055895,,
2019-06-19 06:00:00,0.9371008901401403,0.9300195119191916,,
2019-06-19 07:00:00,2.228375098376908,,2.2098402026412627,
2019-06-19 08:00:00,3.3725603410786325,,3.360401264126166,
2019-06-19 09:00:00,3.373312228086811,,3.359817819681721,
2019-06-19 10:00:00,4.282751610871213,,,4.339481571982326
2019-06-19 11:00:00,4.698890311147383,,,4.6888957930736925
2019-06-19 12:00:00,5.502014308937772,,,5.530213170303159
2019-06-19 13:00:00,4.984008156828982,,,4.958869370594895
2019-06-19 14:00:00,4.183485958427975,,,4.190042565902306
2019-06-19 15:00:00,3.184184810458027,,3.1992377690525924,
2019-06-19 16:00:00,1.314082759528107,1.3145991527777772,,
2019-06-19 17:00:00,0.4427463207626621,0.44157151113103876,,
2019-06-20 04:00:00,0.3282471138430269,0.32842842752639007,,
2019-06-20 05:00:00,0.4786081866187403,0.48034206679292946,,
2019-06-20 06:00:00,0.9687148359603376,0.9810010749870911,,
2019-06-20 07:00:00,2.2263106181306487,,2.2190608102319733,
2019-06-20 08:00:00,3.234985080203967,,3.243484558279226,
2019-06-20 09:00:00,2.227509166164347,,2.191019043198907,
2019-06-20 10:00:00,3.3756215902291897,,3.3810213155436912,
2019-06-20 11:00:00,3.6574946768074104,,,3.6556418100198833
2019-06-20 12:00:00,2.0430447447239173,,2.034063445050444,
2019-06-20 13:00:00,3.405314348178896,,3.405407703418707,
2019-06-20 14:00:00,3.5594946128076095,,,3.547114529820289
2019-06-20 15:00:00,2.776303994024993,,2.7817592509543054,
2019-06-20 16:00:00,1.8895389097527673,,1.8857312451448913,
2019-06-20 17:00:00,0.7172416250841745,0.718484894653171,,
2019-06-20 18:00:00,0.3604387466339549,0.3637126554153308,,
2019-06-21 04:00:00,0.35726906209127074,0.36037875460317464,,
2019-06-21 05:00:00,0.5927589044471233,0.5829478031242343,,
2019-06-21 06:00:00,1.2093539045377046,1.2182514392303148,,
2019-06-21 07:00:00,2.0770838281174604,,2.0767125471357657,
2019-06-21 08:00:00,2.8956296819354033,,2.894666109759116,
2019-06-21 09:00:00,4.204492906463913,,,4.249176799920085
2019-06-21 10:00:00,4.282477973075981,,,4.324580354854252
2019-06-21 11:00:00,1.1582755845598955,1.1525227657242842,,
2019-06-21 12:00:00,2.1490473661179657,,2.1483337150121704,
2019-06-21 13:00:00,4.341233571102132,,,4.410166298950521
2019-06-21 14:00:00,3.5491505078698493,,,3.5506098197264624
2019-06-21 15:00:00,2.2296552353217414,,2.231188610122282,
2019-06-21 16:00:00,1.3175600862156656,1.322201219588575,,
2019-06-21 17:00:00,0.7256606956907956,0.7207199578888744,,
2019-06-21 18:00:00,0.3264292038925488,0.31786757704865976,,
2019-06-22 04:00:00,0.31331156257941073,0.3104140908411463,,
2019-06-22 05:00:00,0.46893189118284195,0.47212122729207784,,
2019-06-22 06:00:00,1.0453860946720706,1.0521008689079911,,
2019-06-22 07:00:00,2.0966326193601743,,2.0967799247131738,
2019-06-22 08:00:00,3.35409565021697,,3.3513700858673734,
2019-06-22 09:00:00,5.094101607439221,,,5.091505447165339
2019-06-22 10:00:00,5.677507827746642,,,5.738599521478281
2019-06-22 11:00:00,5.7795069555288565,,,5.848613702777778
2019-06-22 12:00:00,5.6930457100422736,,,5.745724095080647
2019-06-22 13:00:00,5.218265567427352,,,5.249493486525434
2019-06-22 14:00:00,4.457129125343249,,,4.5084960673220955
2019-06-22 15:00:00,3.3959420055555567,,3.37885771388889,
2019-06-22 16:00:00,1.7143402930820637,1.697548773052138,,
2019-06-22 17:00:00,0.6846829895387007,0.684399380706167,,
2019-06-22 18:00:00,0.3169194610940109,0.3187872418082966,,
2019-06-23 04:00:00,0.3163156614660671,0.3185506218343257,,
